iter	Passed	Remaining
0	8	12999
1	17	12883
2	24	12185
3	31	11834
4	39	11819
5	48	12043
6	55	11788
7	62	11693
8	69	11567
9	76	11427
10	84	11411
11	91	11335
12	99	11325
13	105	11230
14	112	11165
15	119	11111
16	127	11100
17	134	11064
18	141	11016
19	148	10997
20	155	10939
21	162	10898
22	168	10845
23	175	10789
24	182	10781
25	189	10746
26	197	10754
27	203	10722
28	210	10690
29	219	10739
30	226	10729
31	233	10709
32	240	10687
33	247	10683
34	254	10661
35	262	10670
36	269	10636
37	276	10649
38	284	10649
39	290	10620
40	297	10600
41	304	10578
42	312	10573
43	319	10561
44	326	10563
45	333	10539
46	340	10539
47	347	10518
48	354	10486
49	361	10486
50	368	10466
51	375	10465
52	383	10460
53	391	10481
54	399	10486
55	406	10469
56	414	10486
57	422	10493
58	430	10510
59	437	10500
60	446	10523
61	454	10534
62	462	10548
63	469	10530
64	477	10548
65	484	10527
66	492	10525
67	499	10508
68	506	10505
69	513	10492
70	520	10483
71	527	10461
72	534	10447
73	542	10448
74	549	10432
75	556	10430
76	563	10417
77	570	10405
78	577	10385
79	583	10362
80	591	10355
81	597	10337
82	605	10335
83	612	10318
84	618	10300
85	625	10291
86	632	10276
87	640	10275
88	647	10261
89	654	10260
90	661	10246
91	668	10236
92	675	10219
93	682	10203
94	689	10197
95	695	10178
96	703	10176
97	710	10163
98	717	10150
99	724	10142
100	731	10134
101	739	10131
102	745	10115
103	753	10109
104	760	10099
105	767	10087
106	773	10073
107	780	10060
108	787	10051
109	794	10037
110	802	10037
111	809	10029
112	816	10021
113	823	10006
114	829	9994
115	838	10006
116	845	9995
117	852	9989
118	860	9980
119	867	9974
120	874	9970
121	884	9989
122	891	9976
123	898	9970
124	905	9959
125	912	9952
126	920	9949
127	927	9944
128	936	9952
129	943	9945
130	951	9944
131	958	9931
132	966	9929
133	973	9928
134	982	9933
135	989	9926
136	998	9932
137	1005	9926
138	1013	9924
139	1020	9916
140	1028	9911
141	1036	9911
142	1043	9907
143	1051	9903
144	1059	9896
145	1066	9889
146	1073	9877
147	1081	9876
148	1087	9862
149	1094	9853
150	1101	9842
151	1108	9828
152	1116	9830
153	1123	9820
154	1131	9817
155	1138	9806
156	1146	9803
157	1152	9791
158	1159	9782
159	1166	9771
160	1173	9760
161	1180	9751
162	1187	9738
163	1194	9730
164	1201	9720
165	1202	9665
166	1210	9658
167	1216	9645
168	1223	9634
169	1230	9626
170	1237	9617
171	1245	9615
172	1252	9603
173	1260	9602
174	1267	9593
175	1273	9582
176	1280	9573
177	1287	9564
178	1295	9558
179	1301	9547
180	1309	9541
181	1315	9528
182	1322	9519
183	1329	9509
184	1336	9496
185	1344	9496
186	1350	9484
187	1358	9478
188	1365	9469
189	1373	9469
190	1380	9459
191	1387	9454
192	1394	9441
193	1400	9431
194	1408	9427
195	1415	9417
196	1422	9409
197	1429	9398
198	1436	9389
199	1442	9379
200	1450	9371
201	1458	9371
202	1465	9364
203	1472	9357
204	1479	9346
205	1486	9338
206	1493	9329
207	1500	9319
208	1507	9313
209	1514	9304
210	1522	9300
211	1529	9289
212	1536	9286
213	1544	9280
214	1551	9271
215	1558	9266
216	1565	9258
217	1573	9251
218	1579	9239
219	1587	9233
220	1593	9223
221	1601	9216
222	1608	9208
223	1614	9197
224	1622	9192
225	1629	9183
226	1636	9177
227	1643	9171
228	1651	9168
229	1659	9161
230	1665	9150
231	1673	9145
232	1681	9141
233	1688	9136
234	1695	9128
235	1703	9124
236	1710	9115
237	1711	9075
238	1718	9069
239	1725	9060
240	1733	9055
241	1740	9047
242	1748	9042
243	1755	9036
244	1763	9032
245	1771	9028
246	1778	9021
247	1785	9014
248	1792	9005
249	1799	8998
250	1806	8988
251	1813	8979
252	1819	8970
253	1826	8960
254	1833	8952
255	1840	8943
256	1848	8938
257	1855	8930
258	1862	8925
259	1869	8917
260	1876	8907
261	1883	8900
262	1890	8892
263	1897	8885
264	1904	8874
265	1911	8866
266	1918	8858
267	1924	8848
268	1932	8843
269	1939	8834
270	1960	8889
271	1967	8881
272	1973	8870
273	1981	8865
274	1988	8856
275	1996	8855
276	2004	8848
277	2012	8846
278	2020	8841
279	2028	8837
280	2035	8830
281	2043	8826
282	2050	8816
283	2057	8807
284	2064	8800
285	2071	8793
286	2079	8789
287	2086	8779
288	2093	8773
289	2100	8764
290	2107	8755
291	2114	8747
292	2121	8738
293	2129	8733
294	2135	8724
295	2143	8719
296	2150	8709
297	2157	8701
298	2164	8692
299	2170	8683
300	2178	8679
301	2185	8670
302	2193	8663
303	2199	8654
304	2206	8646
305	2213	8636
306	2220	8628
307	2227	8620
308	2234	8612
309	2241	8605
310	2248	8596
311	2255	8588
312	2262	8581
313	2269	8572
314	2277	8566
315	2284	8559
316	2291	8552
317	2298	8544
318	2305	8537
319	2312	8528
320	2319	8520
321	2326	8511
322	2334	8505
323	2341	8498
324	2348	8490
325	2355	8483
326	2362	8473
327	2369	8464
328	2375	8455
329	2382	8446
330	2390	8442
331	2397	8434
332	2405	8428
333	2411	8419
334	2419	8412
335	2426	8404
336	2433	8396
337	2440	8388
338	2446	8379
339	2453	8372
340	2460	8364
341	2468	8359
342	2475	8350
343	2482	8341
344	2489	8334
345	2496	8325
346	2503	8319
347	2510	8311
348	2518	8305
349	2524	8296
350	2531	8287
351	2538	8278
352	2545	8270
353	2552	8262
354	2559	8255
355	2567	8249
356	2573	8240
357	2580	8230
358	2587	8223
359	2594	8215
360	2602	8210
361	2608	8201
362	2615	8193
363	2622	8185
364	2630	8178
365	2636	8169
366	2643	8161
367	2651	8156
368	2658	8147
369	2665	8140
370	2672	8132
371	2679	8125
372	2686	8117
373	2693	8109
374	2701	8105
375	2708	8096
376	2715	8090
377	2723	8083
378	2731	8078
379	2738	8070
380	2744	8061
381	2752	8054
