ID,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Colour,Seats,No. of Doors,New_Price,Price
G4XLU0,Tata Indigo,Coimbatore,2013,59138,Diesel,Manual,First,17.0 kmpl,1405 CC,70 bhp,Others,5,4,\N,2.58
CRSHOS,Toyota Corolla,Kochi,2013,81504,Diesel,Manual,First,21.43 kmpl,1364 CC,87.2 bhp,Others,5,4,\N,6.53
FUJ4X1,Ford Ikon,Hyderabad,2007,92000,Petrol,Manual,First,13.8 kmpl,1299 CC,70 bhp,Others,5,4,\N,1.25
QMVK6E,Hyundai i20,Kolkata,2012,33249,Diesel,Manual,First,21.27 kmpl,1396 CC,88.76 bhp,Black/Silver,5,4,\N,3.25
4SWHFC,Honda City,Bangalore,2011,65000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,White,5,4,\N,5.2
5ZHEKQ,Ford Ecosport,Delhi,2014,75136,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,Others,5,4,\N,6.15
4U0IV1,Hyundai Grand,Pune,2016,25000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,Black/Silver,5,4,\N,5.0
FYKS72,Maruti Wagon,Kochi,2011,36411,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,Black/Silver,5,4,\N,3.08
2YQCUE,Mercedes-Benz GLA,Chennai,2016,28000,Petrol,Automatic,First,13.7 kmpl,1991 CC,183 bhp,Others,5,4,\N,26.0
EWWZKZ,Jaguar XF,Hyderabad,2011,78000,Diesel,Automatic,Second,14.74 kmpl,2993 CC,270.9 bhp,Others,5,4,\N,24.0
BVWP4S,Porsche Cayenne,Coimbatore,2016,65003,Diesel,Automatic,First,13.6 kmpl,4134 CC,382 bhp,White,5,4,\N,67.83
AH2YWC,BMW 3,Delhi,2012,76000,Diesel,Automatic,First,16.07 kmpl,1995 CC,181 bhp,Black/Silver,4,4,\N,8.75
OTDMJJ,Hyundai Grand,Mumbai,2013,71904,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,White,5,4,\N,4.61
